"","Temperature (°C)","Vres (V)"
"1",-93.918878016715,0.671361442180726
"2",-93.857904260252,0.671498423578334
"3",-93.7969305037889,0.671636859341801
"4",-93.7359567473258,0.671775370785324
"5",-93.6749829908627,0.671914644756386
"6",-93.6140092343997,0.672055208269391
"7",-93.5530354779366,0.672196034833523
"8",-93.4920617214735,0.67233837556827
"9",-93.4310879650105,0.672480779195884
"10",-93.3701142085474,0.672624427947675
"11",-93.3091404520843,0.672768420015464
"12",-93.2481666956212,0.672913207082711
"13",-93.1871929391582,0.673059489524524
"14",-93.1262191826951,0.673205899497267
"15",-93.065245426232,0.673353848866037
"16",-93.004271669769,0.6735019021769
"17",-92.9432979133059,0.673650774472177
"18",-92.8823241568428,0.673800928569951
"19",-92.8213504003797,0.67395146557889
"20",-92.7603766439167,0.674103310717175
"21",-92.6994028874536,0.674255532415595
"22",-92.6384291309905,0.674409060998553
"23",-92.5774553745274,0.674562986756946
"24",-92.5164816180644,0.674717765516201
"25",-92.4555078616013,0.674874345000571
"26",-92.3945341051382,0.675030870747972
"27",-92.3335603486751,0.675188730565835
"28",-92.2725865922121,0.675347010630969
"29",-92.211612835749,0.675506168903301
"30",-92.1506390792859,0.675666455548089
"31",-92.0896653228229,0.675827391889535
"32",-92.0286915663598,0.675989461165902
"33",-91.9677178098967,0.676152195493876
"34",-91.9067440534336,0.676316067543761
"35",-91.8457702969706,0.676480619897733
"36",-91.7847965405075,0.676646085546548
"37",-91.7238227840444,0.676813149694475
"38",-91.6628490275813,0.676980476448534
"39",-91.6018752711183,0.677149183424302
"40",-91.5409015146552,0.677318385924043
"41",-91.4799277581921,0.677488527725088
"42",-91.418954001729,0.677660309410439
"43",-91.357980245266,0.677832365149029
"44",-91.2970064888029,0.678006063055177
"45",-91.2360327323398,0.678180054064625
"46",-91.1750589758768,0.678355244050177
"47",-91.1140852194137,0.678531178818496
"48",-91.0531114629506,0.678708089993374
"49",-90.9921377064875,0.678886594780146
"50",-90.9311639500245,0.679065492102688
"51",-90.8701901935614,0.679246007144541
"52",-90.8092164370983,0.679426912848017
"53",-90.7482426806353,0.679608821934252
"54",-90.6872689241722,0.679792390544097
"55",-90.6262951677091,0.679976341201083
"56",-90.565321411246,0.680161985422701
"57",-90.504347654783,0.680348000504057
"58",-90.4433738983199,0.680535923779897
"59",-90.3824001418568,0.680724031595612
"60",-90.3214263853937,0.680913181483769
"61",-90.2604526289307,0.681103609653031
"62",-90.1994788724676,0.681294866499842
"63",-90.1385051160045,0.681487409964165
"64",-90.0775313595415,0.681680795420182
"65",-90.0165576030784,0.681875887354715
"66",-89.9555838466153,0.682071435364801
"67",-89.8946100901522,0.682268063707922
"68",-89.8336363336892,0.682466234280827
"69",-89.7726625772261,0.682665053031539
"70",-89.711688820763,0.682865629051834
"71",-89.6507150642999,0.683066666591339
"72",-89.5897413078369,0.68326881223472
"73",-89.5287675513738,0.683472282138062
"74",-89.4677937949107,0.683676666448072
"75",-89.4068200384476,0.683882837781505
"76",-89.3458462819846,0.684089496276438
"77",-89.2848725255215,0.684297719191441
"78",-89.2238987690584,0.684506667490451
"79",-89.1629250125954,0.684716762645769
"80",-89.1019512561323,0.684928658683119
"81",-89.0409774996692,0.685141083317832
"82",-88.9800037432061,0.685354895702748
"83",-88.9190299867431,0.685569659586995
"84",-88.85805623028,0.685786023723244
"85",-88.7970824738169,0.686003154846025
"86",-88.7361087173538,0.686221471495353
"87",-88.6751349608908,0.686441638801557
"88",-88.6141612044277,0.686662362668539
"89",-88.5531874479646,0.686884697552472
"90",-88.4922136915016,0.687107843437707
"91",-88.4312399350385,0.68733220240746
"92",-88.3702661785754,0.687558444127992
"93",-88.3092924221123,0.687785265528167
"94",-88.2483186656493,0.688013976990293
"95",-88.1873449091862,0.688243283031064
"96",-88.1263711527231,0.688474051510378
"97",-88.06539739626,0.688705850898321
"98",-88.004423639797,0.688938901577587
"99",-87.9434498833339,0.689173831719657
"100",-87.8824761268708,0.689409419785966
"101",-87.8215023704078,0.689646928013385
"102",-87.7605286139447,0.689885076265441
"103",-87.6995548574816,0.690124923732648
"104",-87.6385811010185,0.690365646731422
"105",-87.5776073445555,0.690607658607001
"106",-87.5166335880924,0.690851170645075
"107",-87.4556598316293,0.691095781870618
"108",-87.3946860751662,0.691342347476813
"109",-87.3337123187032,0.69158959237932
"110",-87.2727385622401,0.691839216247836
"111",-87.211764805777,0.692089128878086
"112",-87.150791049314,0.692340367114837
"113",-87.0898172928509,0.692593556595722
"114",-87.0288435363878,0.692847480113335
"115",-86.9678697799247,0.693103394818554
"116",-86.9068960234617,0.693360025139476
"117",-86.8459222669986,0.693618652208839
"118",-86.7849485105355,0.693878009573869
"119",-86.7239747540724,0.694138728001725
"120",-86.6630009976094,0.69440124867141
"121",-86.6020272411463,0.694664716990626
"122",-86.5410534846832,0.694929990693835
"123",-86.4800797282201,0.695196227978014
"124",-86.4191059717571,0.695463850181104
"125",-86.358132215294,0.695733318664709
"126",-86.2971584588309,0.696003738577139
"127",-86.2361847023679,0.696275994902314
"128",-86.1752109459048,0.696549230393375
"129",-86.1142371894417,0.696824303265192
"130",-86.0532634329786,0.697100372173645
"131",-85.9922896765156,0.697377857735105
"132",-85.9313159200525,0.697657435642586
"133",-85.8703421635894,0.697937788289322
"134",-85.8093684071264,0.698220024359454
"135",-85.7483946506633,0.698503254754771
"136",-85.6874208942002,0.698788547773339
"137",-85.6264471377371,0.699074678062065
"138",-85.5654733812741,0.699362254764819
"139",-85.504499624811,0.69965151203379
