"Data Set: T (°C)","Data Set: Ek (mV)","Data Set: Calculated T4","Data Set: Error4 (°C)","Data Set: CalcT5","Data Set: Err5 (°C)"
149,6.098,149.697358936,-0.697358936194,148.731975239,0.268024760582
150,6.138,150.689873712,-0.689873711616,149.706720333,0.293279666546
151,6.179,151.706520767,-0.706520767382,150.706837413,0.293162586789
152,6.219,152.69767009,-0.697670089759,151.683589354,0.316410645665
153,6.259,153.688089049,-0.688089048894,152.661406188,0.338593811596
154,6.299,154.677739852,-0.6777398524,153.640338286,0.359661714023
155,6.339,155.666584168,-0.666584168018,154.620437181,0.379562818818
156,6.38,156.679271927,-0.679271926617,155.626304633,0.373695366652
157,6.42,157.666363481,-0.666363481258,156.608928981,0.391071018506
158,6.46,158.652529306,-0.65252930629,157.592883234,0.407116766159
159,6.5,159.637728896,-0.63772889647,158.578223739,0.421776260961
160,6.54,160.621921207,-0.621921206684,159.565008074,0.434991925521
161,6.58,161.605064652,-0.605064651948,160.553295059,0.446704940733
162,6.62,162.587117107,-0.587117107405,161.543144767,0.456855232809
163,6.66,163.568035908,-0.568035908325,162.53461854,0.465381460306
164,6.701,164.572255943,-0.572255942964,163.552630171,0.447369828982
165,6.741,165.550746201,-0.550746200907,164.547585828,0.452414172281
166,6.781,166.527970457,-0.527970456875,165.544358956,0.455641043642
167,6.821,167.503883873,-0.503883873155,166.543016132,0.456983868151
168,6.861,168.478441072,-0.478441072166,167.543625262,0.456374738063
169,6.901,169.451596136,-0.451596136454,168.5462556,0.453744399834
170,6.941,170.423302609,-0.423302608692,169.550977759,0.44902224115
171,6.981,171.393513492,-0.393513491683,170.557863722,0.442136277955
172,7.021,172.362181248,-0.362181248358,171.566986859,0.433013141485
173,7.06,173.30510067,-0.305100669695,172.553107273,0.446892727247
174,7.1,174.270578995,-0.270578995396,173.566869823,0.433130176956
175,7.14,175.23436958,-0.234369579843,174.583096133,0.416903866596
176,7.18,176.19642274,-0.196422739977,175.601865205,0.398134794925
177,7.22,177.156688253,-0.156688252868,176.623257489,0.376742511465
